skill_title,skill_description,skill_type,is_emerging,is_casl
Digital and Physical Prototyping,"Construct design concepts, either digitally or physically, to develop deeper understanding of the designs and test their usability and functionality",tsc,False,False
Direction,Manage the entire production cast and crew to create compelling content for the target audience,tsc,False,False
Disability Assessment and Management,Perform assessment and management of common neurological emergencies,tsc,False,False
Disaster Recovery Management,"Develop and implement internal policies, processes and arrangements to guide and enable the prompt recovery of critical IT infrastructure and systems following a crisis or disaster. This includes monitoring the efficiency and effectiveness of response to significant incidents or disruptions and reviewing the organisation's disaster recovery plan and processes",tsc,False,False
Display Creation and Management,"Conceive, design and implement plant and merchandise displays to enhance their visibility and promote nursery sales",tsc,False,False
Dispute Resolution,Manage disputes by implementing appropriate resolution approaches to find solutions to disagreements,tsc,False,False
Dispute Resolution Strategy,Develop and implement strategies to resolve a legal dispute,tsc,False,False
Dispute Settlement,Conduct investigations and resolve disputes with third parties,tsc,False,False
Disruption Management,"Lead radical changes in industry or business strategies by developing new products or services that create new markets and opportunities, challenge incumbent business and operating models, and align with upcoming trends",tsc,False,False
Distributed Generation System Performance Monitoring Management,Manage performance of distributed generation plant and equipment to improve operational efficiency,tsc,False,False
Diversity Appreciation and Sensitivity,"Understand and learn about diverse groups and their interests, concerns, and behaviours to broaden educator perspectives and include diverse themes in classroom discussions and activities. Connect with students across cultures, abilities, gender, sexuality, age and other elements of diversity",tsc,False,False
Diversity and Inclusion,"Influence and facilitate positive working relationships, promote workplace diversity, and cultivate a culture of open communication. Develop and implement strategies supporting diversity and cross-cultural cooperation. Create and implement programmes fostering a diverse and inclusive workplace where individual differences are accepted and respected",tsc,False,False
Diversity and Inclusion in Care Provision,"Demonstrate and apply awareness and sensitivity when working professionally with diverse individuals, groups, and communities representing various cultural and personal backgrounds",tsc,False,True
Document Control,"Implement documentation policies to facilitate the referencing of information for processes, systems and equipment, and to comply with regulatory requirements",tsc,False,False
Document Management for Pharmacy Support,Establish and implement documentation policies to facilitate referencing of information and comply with regulatory requirements,tsc,False,True
Documentation,"Write clear, concise and readable reports supported by facts and evidence",tsc,False,True
Documentation and Administration,"Manage and maintain shipping documents (e.g. cargo import and export documents, shipping permits, bills of lading, booking lists, shipping permits and delivery orders) which are necessary to commence the loading and unloading operations",tsc,False,True
"Drainage, Plumbing and Sanitary Systems Maintenance","Implement preventive and corrective maintenance of drainage, plumbing and sanitary systems",tsc,False,False
Drive Productivity and Innovation,Engender a culture to encourage idea generation that promotes productivity and innovation across the organisation,tsc,False,False
Drug Distribution and Inventory Management,Manage the inventory and the distribution of pharmaceutical products to ensure the quality and integrity of product supply,tsc,False,False
Dry Dock Project Management,"Apply technical ship and maritime knowledge to manage dry dock-based repair and maintenance of ship assets, by specifying repair requirements, selecting suitable dry docks and overseeing the actual repair work",tsc,False,True
Due Diligence,Investigate and review the legal and compliance status of a target business entity or individual for risk assessment,tsc,False,True
Due Professional Care,Apply care and skill expected of a prudent and competent internal auditor,tsc,False,False
E-commerce Campaign Management,"Develop, manage and execute e-Commerce strategies and campaigns according to agreed timelines and budgetary requirements",tsc,True,False
E-commerce Management,"Develop, manage and execute e-commerce strategies and activities according to organisational objectives",tsc,True,False
Early Childhood Curriculum Design,Design culturally and developmentally appropriate curriculum for holistic learning experiences for children of all levels including infants,tsc,False,False
Early Childhood Pedagogical Practice,Plan and implement developmentally appropriate pedagogical practice to engage children meaningfully,tsc,False,False
Early Childhood Programme Planning,Plan and implement developmentally appropriate Early Childhood programmes,tsc,False,False
Early Intervention Curriculum Design,Design and implement curriculum to cater the developmental needs of children,tsc,False,False
Early Intervention Principles and Practices,"Understand and apply different approaches and models of early intervention childhood care and education, as well as the social dynamics of learning in an early intervention context",tsc,False,False
Ecology in Landscapes,"Adopt principles of ecology in the design, implementation and management of landscapes",tsc,False,False
Effective Client Communication,Demonstrate effective communicative skills when communicating with clients and caregivers,tsc,False,False
Effective Communication in Nursing,Demonstrate efficient communication to promote patients' physical and mental well-being to achieve health-related goals,tsc,False,False
Effective Patient Counselling,Establish and maintain a relationship with patient through effective communication,tsc,False,False
Effectiveness Management,Set goals with team and evaluate team’s effectiveness in achieving the defined goals and objectives,tsc,False,False
Elastomer Seals Application,"Perform elastomer seals applications on aircraft parts and components using appropriate tools, equipment, materials and methods in accordance with applicable technical manuals and organisational procedures",tsc,False,False
Electric Vehicle Air-Conditioning System Maintenance,"Apply knowledge of electric vehicle air-conditioning and battery thermal management systems to inspect and service cooling components, diagnose performance issues, and optimise temperature control, energy use and safety in integrated heating, ventilation, and air conditioning–battery cooling circuits",tsc,False,False
Electric Vehicle Brake System Maintenance,"Apply knowledge of electric vehicle regenerative and electro-hydraulic braking systems to inspect braking components and sensors, diagnose faults, and analyse performance data to calibrate braking functions for safe, consistent and energy-efficient braking",tsc,False,False
Electric Vehicle Drivetrain System Maintenance,"Apply knowledge of electric vehicle drivetrain assemblies, including e-axles, reduction gears and integrated motor systems, to inspect components, diagnose faults and implement maintenance and predictive actions that support smooth torque delivery, durability and energy-efficient drivetrain performance",tsc,False,False
Electric Vehicle High Voltage Systems Maintenance,"Implement electric vehicle high voltage systems maintenance including preventive and corrective maintenance, formulate failure investigation procedures to diagnose root cause issues, manage rectification of systemic issues within a safe work environment and enhance the overall maintenance regime ",tsc,False,False
Electric Vehicle Low Voltage Systems Maintenance,"Implement electric vehicle low voltage systems maintenance including preventive and corrective maintenance, diagnosis and rectification of systemic issues and improve the overall maintenance regime within a safe work environment",tsc,False,False
Electric Vehicle Propulsion Systems Maintenance,"Implement electric vehicle proplusion systems maintenance including preventive and corrective maintenance,  formulate failure investigation procedures to diagnose root cause issues, manage rectification of systemic issues within a safe work environment and enhance the overall maintenance regime ",tsc,False,False
Electric Vehicle Steering System Maintenance,"Apply knowledge of electric vehicle electric power-assisted steering systems and electronic steering controls to inspect components, diagnose steering faults and perform calibration and servicing that maintain safe handling, directional control, response accuracy and steering responsiveness",tsc,False,False
Electric Vehicle Suspension System Maintenance,"Apply knowledge of electric vehicle suspension systems, including electric vehicle-specific chassis design and load distribution, to inspect components, diagnose ride and body-motion issues and implement maintenance and adjustment actions that improve ride comfort, vibration control, stability and safety",tsc,False,False
Electric Vehicle Traction Battery and Battery Management System Maintenance,"Implement electric vehicle traction battery and battery management system maintenance including preventive and corrective maintenance, diagnosis and rectification of systemic issues and improve the overall maintenance regime within a safe work environment",tsc,False,False
Electric Vehicle and Hybrid Electric Vehicle Battery Management,Apply knowledge in electric vehicle and/or hybrid electric vehicle battery management and implement maintenance activities in a safe work environment,tsc,False,False
Electric Vehicle and Hybrid Electric Vehicle Maintenance Management,Apply knowledge of electric vehicle and hybrid electric vehicle to implement maintenance activities in a safe work environment,tsc,False,False
Electric Vehicle and/or Hybrid Electric Vehicle Charging Management,Apply knowledge of electric vehicle and/or hybrid vehicle charging and implement charging and maintenance activities in a safe work environment,tsc,False,False
Electrical Design Approval,Interpret electrical drawings and vessel design specifications to guide approval processes for power planning and installation of electrical systems,tsc,False,False
Electrical Drawing,"Create and interpret electrical drawings based on design specifications to guide power planning and installation of electrical systems for ships, rigs and/or conversions",tsc,False,False
Electrical Engineering Management,"Manage design, technical specification, selection, modification, and troubleshooting of electrical engineering equipment, components, and systems in process plants to support construction, operations, maintenance, and project teams",tsc,False,True
Electrical Field Maintenance Management,Interpret and apply routine and non-routine electrical field maintenance and inspection work instructions and regimes to ensure optimal availability and reliability of electrical equipment and control systems in process plants,tsc,False,False
Electrical Fundamentals Application,"Apply and use electrical fundamentals for maintenance, repair, overhaul or manufacturing of aircraft electrical and power generation systems",tsc,False,False
Electrical Installation,Assess and monitor power distribution systems to connect wiring systems and equipment using safe and approved methods,tsc,False,False
Electrical Maintenance Management,"Manage the overhaul, maintenance and troubleshooting of electrical equipment and systems",tsc,False,False
Electrical Systems Design,Design cost effective and energy-efficient electrical systems,tsc,False,False
"Electrical Termination, Connection and Measurement","Perform electrical terminations, connections and measurements using appropriate resources. This includes crimping, soldering, wire wrapping and harnessing, as well as checking serviceability of electrical components, wires and cables",tsc,False,False
Electrical Testing,"Execute non-destructive electrical tests to ensure insulation-resistance, continuity, and satisfactory performance of electrical equipment and installations against organisational and regulatory standards and requirements",tsc,False,False
Electrical Wiring Interconnection Systems Maintenance,"Maintain electrical wiring interconnection systems using appropriate resources and conduct functional checks after maintenance work. This includes identification and correction of wiring system degradation, incorporation of zonal inspection concept and adoption of proactive maintenance practices",tsc,False,False
Electrical and Electronic Systems Maintenance,Implement corrective and preventive maintenance of electrical and electronic systems,tsc,False,False
"Electrical, Electronic and Control Engineering","Manage and monitor electrical, electronic and control engineering systems",tsc,False,False
Electricity Meter and Associated Equipment installation and Commissioning,"Manage the installation, replacement, testing and commissioning of metering and associated equipment",tsc,False,False
Electricity Metering Data Management,"Manage and process electricity metering data for electricity market settlements by Energy Market Company, billings by retail electricity licensees or market support service licensees and to resolve issues with end users, metering equipment service providers or meter readers",tsc,False,False
Electricity Network Operations Management,"Perform low, high and/or extra high voltage network operations and maintenance to ensure compliance to regulatory requirements and safety at sites and to optimise operations efficiency",tsc,False,False
Electricity Network Performance Monitoring Management,Manage electricity network performance monitoring to facilitate renewal or disposal planning of network assets,tsc,False,False
Electricity Network Planning,"Manage medium to long-term network development plans to meet power generation and demand needs, maximise network utilisation and minimise network capital expenditures",tsc,False,False
Electricity Network incident Management,Investigate and resolve network incidents,tsc,False,False
Electricity Service Connections Planning,Plan for low-tension and high-tension customer service connections,tsc,False,False
Electronic Fundamentals Application,"Apply and use principles of electronics for maintenance, repair, overhaul or manufacturing of aircraft electronics and related systems",tsc,False,False
Electronic Trading System Management,Demonstrate good grasp of electronic trading key drivers and perform market analysis activities to establish a seamless system to allow investors and traders to place trades and monitor performance,tsc,True,False
Electrostatic Discharge Control,Implement precautionary measures required to avoid damage to sensitive electronic components as well as adopt proper components handling techniques and the use of appropriate personal grounding device,tsc,False,True
Embedded System Integration,Implement control systems to perform pre-defined tasks and also real-time monitoring for the real world,tsc,True,False
Embedded Systems Interface Design,"Design and set up interface and interconnections from or among sensors, through a network, to a main location, to enable transmission of information",tsc,True,False
Embedded Systems Programming,Program an embedded system using permitted programming interfaces provided by the system to support creation of devices that do not operate on traditional operating systems,tsc,True,False
Emergency Care Management in Nursing,Manage patients requiring emergency care,tsc,False,False
Emergency Management,Implement emergency management to ensure the readiness of the stakeholders in addressing emergencies that may arise in the workplace,tsc,False,False
Emergency Response Management,"Manage emergency response plans for contingencies impacting work operations and various industries, including fire, explosion, power failure, chemical spillage, leakages, collapses, flooding, and falling from height",tsc,False,False
Emergency Response Planning,Execute emergency response plans and procedures to mitigate the impact of emergency incidents,tsc,False,False
Emergency Response and Crisis Management,"Develop and implement emergency response and crisis management plans and policies, providing guidance on their development and execution",tsc,False,False
Emergency Response and Crisis Management Development and Implementation,"Develop and maintain the Emergency Response and Crisis Management (ERCM) framework in accordance with legislative and organisational requirements, comprising policies, standards and procedures",tsc,False,False
Emergency Shut-down and Restart,Manage shut-down and restart of production processes to minimise loss and damage of assets as well as ensure the safety of personnel during emergency situations,tsc,False,False
Emergency and Crisis Situation Management,Implement emergency and crisis response and recovery activities to minimise the impact of disruptive events to the organisation,tsc,False,False
Emergency and Security Communication Systems Maintenance,Implement preventive and corrective maintenance activities of emergency and security communication systems,tsc,False,False
Emerging Technology Synthesis,"Monitor and integrate emerging technology trends and developments, gather structured data to identify new products, services, and techniques, and perform cost-benefit analysis to evaluate their relevance, viability, sustainability, and potential value to the business",tsc,True,False
Empathetic Design,"Apply and drive empathetic-centred design thinking to better understand users' feelings and perceptions towards products and services, as well as the emotional tone of creative design work",tsc,False,True
Employee Communication Management,Formulate overall employee communication strategies and facilitate conversations to ensure effective and timely dissemination of pertinent information to employees,tsc,False,False
Employee Engagement Management,"Drive employee engagement programmes to facilitate commitment from employees to organisational values, vision and objectives",tsc,False,True
Employee Mobility Management,"Establish policies to facilitate employee movements according to legal, organisational and professional requirements and guidelines",tsc,False,False
Employee Relationship Management,"Strengthen employee relationships by facilitating conflict resolutions, investigating claims, and managing negotiations",tsc,False,False
Employee and Labour Relations,Manage relationships with employees and labour unions,tsc,False,False
Employer Branding,Develop employer brand proposition and strategies in alignment with the organisation's long-term strategic objectives and desired culture,tsc,True,False
Energy Management and Audit,Perform energy audits to optimise the energy performance of energy consuming systems and manage energy consumption,tsc,True,False
Energy Product Advisory,"Develop, maintain and convey detailed and specialised energy product knowledge as well as keep abreast of emerging product knowledge to address customers' requirements",tsc,False,False
Energy Product Performance Management,Manage product performance through analysis and recommendations,tsc,False,False
Energy Systems Asset Integrity Management,Manage energy systems asset lifecycles from planning till replacement and/or disposal,tsc,False,False
Energy Trading Portfolio Optimisation,Formulate portfolio optimisation strategies to maximise profitability,tsc,False,False
Engagement Completion and Reporting,Perform procedures involved prior to expressing an opinion,tsc,False,False
Engagement Execution,Perform assurance procedures in accordance with the engagement plans,tsc,False,False
Engagement Planning,"Develop engagement plans which describe the nature, timing and extent of planned engagement procedures",tsc,False,False
Engagement Quality Control,Set up control procedures for an assurance engagement,tsc,False,False
Engagement Review,"Review evidence obtained, procedures performed, and conclusions reached for the engagement",tsc,False,False
Engine Cleaning,"Clean aircraft engine parts, accessories, modules and components using appropriate resources",tsc,False,False
Engine Component Parts Inspection,"Inspect and certify aircraft engine parts, accessories, modules and components using appropriate resources",tsc,False,False
Engine Disassembly and Assembly,Disassemble and assemble aircraft engines and perform balancing of rotating parts using appropriate resources,tsc,False,False
Engine Rigging and De-Rigging,Perform rigging and de-rigging of aircraft engines for testing purposes using appropriate resources,tsc,False,False
Engineering Contract Management,"Analyse and develop tender and contract requirements to define engineering contract structures, terms, and financials",tsc,False,True
Engineering Drawing,"Create technical drawings for design specifications to guide electrical, mechanical and structural installation works",tsc,False,False
Engineering Drawing Interpretation and Management,"Use engineering drawings, including Process Flow Diagrams, Piping and Instrument Diagrams, process equipment datasheets, vendor equipment engineering drawings and layouts, to support construction, operations, maintenance, and engineering activities",tsc,False,True
Engineering Drawing and Design Specifications,Create design specifications and technical drawings to guide installation and construction works,tsc,False,False
Engineering Installation Design,Produce engineering plans for the installation and assembly of new products using a systematic approach to design. It also includes seeking endorsement from key stakeholders,tsc,False,True
Engineering Maintenance Management,Implement engineering maintenance strategy to enhance performance level of public transport fleet,tsc,False,True
Engineering Management of Change,"Manage changes made to process plants, equipment and systems to ensure possible hazards and implications to process safety, production and quality are taken into consideration, and such changes are traceable, documented and evaluated",tsc,False,False
Engineering Problem Solving,"Apply the eight disciplines methodology for systematic problem solving including root cause analysis, failure mode effect and analysis, containment actions, and corrective actions and preventive actions in accordance with organisational systems and processes",tsc,False,False
Engineering Product Design,Facilitate the design of products to meet requirements for functionality and performance,tsc,False,False
Engineering Product Design Facilitation,Facilitate the design of products to meet requirements for functionality and performance,tsc,False,False
Engineering Project Management,"Manage engineering projects and work areas by setting objectives, project plans, methodologies, and timelines, while coordinating with project teams and stakeholders to ensure successful outcomes and achieve project objectives",tsc,False,False
Engineering Safety Standards Interpretation,Design and implement appropriate safety and safeguarding engineering solutions standards in accordance with legislative requirements and industry best practices,tsc,False,True
Engineering Safety and Security Standards,Design and execute safety and security policies to promote safe working environments for engineering projects,tsc,False,True
Engineering Services Procurement Management,Manage the overall procurement process of equipment and engineering services,tsc,False,False
Engineering Standards Audit and Assessment,Assess engineering project documentation and outcomes to ensure compliance with established standards,tsc,False,False
Engineering Support Management,"Provide discipline engineering technical support and expertise in technical specifications, modifications, asset integrity and troubleshooting of engineering equipment and systems, to production, maintenance and project teams",tsc,False,True
Engineering Train and Rolling Stock Operation,"Operate engineering train, rolling stock and on-board equipment to support maintenance operations",tsc,False,False
Engineering Watch,Maintain and contribute to an engineering watch,tsc,False,False
"Engineering, Procurement and Construction Management","Manage engineering design, procurement and construction for new process plants and/or plant expansion projects",tsc,False,False
"Engines and Components Handling, Inspection and Packing","Perform manual handling techniques to receive aircraft engines, components and parts, conduct first article inspections and pack using appropriate resources",tsc,False,False
Enterprise Architecture,"Operationalise a business strategy on the planning and development of business structures and models to facilitate the evolution of a business to its desired future state. This involves the review and prioritisation of market trends, evaluation of alternative strategies, as well as the strategic evaluation and utilisation of enterprise capability and technology to support business requirements",tsc,False,False
Enterprise Database System Administration,"Manage database design, architecture, optimisation, deployment, troubleshooting as well as capacity planning, refinement of logical design, handling of back-up and recovery plans, in order to support business requirements",tsc,False,True
Enterprise Risk Management,Assess the adequacy of risk management process and frameworks,tsc,False,False
Enterprise Risk Mitigation Management,Develop and implement risk management strategies to support business operations,tsc,False,False
Environment Impact Assessment,"Evaluate and analyse the potential environmental and social consequences of proposed projects, policies, or developments, incorporating regulatory standards, environmental and social science approaches, and stakeholder insights. Inform decision-making by providing information on potential risks, as well as recommendations for minimising ecological and social impacts and promoting sustainable development.",tsc,False,True
Environment Management in Landscape Operations,Develop and execute plans to manage the adverse impact of landscape operations on the environment,tsc,True,False
Environment Observation,Measure situations by discerning the environment,tsc,False,False
Environment and Social Governance,"Understand industry and client standards regarding Environment and Social Governance (ESG), conduct ESG research activities, and document findings",tsc,False,True
Environmental Assessment and Modification for Occupational Therapy,"Provide recommendations on environmental modifications to remove environmental barriers and support clients' participation in their homes, schools and/or workplaces",tsc,False,True
Environmental Assessment and Modification for Physiotherapy,"Assess and recommend appropriate environmental modifications based on client needs in their homes, schools and/or workplaces",tsc,False,False
Environmental Management System Framework Development and Implementation,"Develop Environmental Management System frameworks and implement procedures to ensure compliance with legal and organisational requirements, while maintaining commitment to environmental protection through a systematic approach",tsc,False,False
"Environmental Management System Policies, Standards, Procedures and Practices Management","Apply an effective and systematic process for managing and maintaining Environmental Management System policies, standards, procedures and practices in accordance with legislative requirement and management system requirements",tsc,False,True
Environmental Protection Management,"Establish policies and procedures for sustainable environment practices covering green procurement, gas emissions, disposal methods, product quality standards and regulatory compliance",tsc,False,False
Environmental Sustainability Management,"Integrate environmental sustainability through the development, implementation and review of sustainability strategies and programmes against industry best practices",tsc,True,False
Equipment Breakdown Repair and Maintenance,"Perform equipment maintenance including preparation, preventive and breakdown maintenance",tsc,False,False
Equipment Drawing,"Create equipment drawings based on design specifications representing working pieces of machinery for ships, rigs, conversions and/or equipment sub-components",tsc,False,True
Equipment Maintenance,Maintain tools and equipment to meet operation requirements as well as propose strategies for tools and equipment performance improvement,tsc,False,True
Equipment Maintenance and Housekeeping,Maintain and upkeep tools and equipment and implement organisational housekeeping practices,tsc,False,True
Equipment Qualification,"Verify that biopharmaceuticals manufacturing equipment and manufacturing equipment are installed, operate, and perform as per expectations and requirements",tsc,False,False
Equipment and Inventory Management,Maintain stocks inventory and equipment to meet operation requirements,tsc,False,False
Equipment and System Value Engineering Management,Develop and evaluate discipline-specific engineering equipment and systems to continuously improve process plant performance within manufacturers' safe operating parameters and limits,tsc,False,False
Equipment and Systems Installation and Commissioning Management,Manage installation and testing to determine readiness for commissioning of systems,tsc,False,False
Equipment and Systems Repair,Execute equipment and systems repair procedures to correct faults and restore functionalities,tsc,False,False
Equipment and Systems Testing,Execute equipment and systems testing procedures to ensure continuity of operations and meet standards of performance,tsc,False,True
Erect Metal Scaffold in Marine industry,Erect and dismantle marine industry scaffolding in accordance with workplace safety and health regulations,tsc,False,False
Ergonomics Hazards Management,Evaluate risks due to ergonomics at the workplace and measure the impact of ergonomics to employees,tsc,False,False
Escalator and Travellator Systems Maintenance and Management,Conduct preventive and corrective maintenance of escalator and travellator systems,tsc,False,False
Establish Biosecurity Management System,"Establish biosecurity management systems for laboratories of different containment levels in accordance with relevant national and international biosecurity standards, guidelines and legislations",tsc,False,False
Ethical Conduct and Professional Integrity,"Apply professional conduct, ethics, and values while complying with relevant legislation to uphold the integrity and reputation of both the organisation and the profession",tsc,False,False
Ethical Culture,"Evaluate and foster a strong ethical climate by adhering to ethical principles, code of conduct, regulations, and market practices",tsc,False,False
Ethical Frameworks for Generative AI,"Establish and enforce ethical guidelines and governance structures for Gen AI projects, ensuring all initiatives align with regulatory standards and organizational values",tsc,False,False
Ethical and Responsible Generative AI Adoption,"Understand and adhere to ethical guidelines and governance frameworks for the responsible use of Gen AI, ensuring compliance with legal and ethical standards",tsc,False,False
Event Logistics Administration,Manage and administer activities through deployment and withdrawal of resources according to schedule to ensure efficient supply of customer to the product and the supply of facilities to and from event sites,tsc,False,False
Events Planning and Management,"Develop, manage and execute event plans according to agreed timelines and budgetary requirements",tsc,False,False
Evidence Management,Employ forensic research methodologies to collect and manage data,tsc,False,True
Excellence in Service,"Develop a service framework to manage challenges and collaborate with partners for service excellence, create strategies to foster positive customer and patient experiences throughout the engagement lifecycle, and enhance the organisation's overall customer experience",tsc,True,False
Executive Protection,Provide protection services to moderate risk security environment,tsc,False,True
Executive Remuneration Management,Manage the design and implementation of executive remuneration for executives of the organisation,tsc,False,False
Exposure Assessment and Management,Perform assessment and management of patient's environmental exposure,tsc,False,False
Exposure and Risk Measurement,Measure and assess the risks due to hazardous substances at the workplace,tsc,False,False
FInancial Market Risk Management,"Identify, monitor, and manage market risks including foreign exchange, interest rates, credit spreads, and liquidity, and implement risk mitigation plans in adherence to financial market risk limits and guidelines",tsc,False,False
FX Simulation,"Create realistic or stylized visual effects that enhance storytelling and visual appeal, simulating natural phenomena and dynamic elements to integrate seamlessly with live-action footage and 3D animations, meeting artistic and technical production requirements",tsc,False,False
Fabric and Material Design,Select appropriate fabric and material choices for costume construction,tsc,False,False
Facade Design,Design facades to achieve high performance and sustainable building envelope,tsc,False,False
Facilitation,"Facilitate workshops with the intent of guiding, mentoring and leading participants to move through the process of learning and planning",tsc,False,False
Facilities Shut-down and Restart,Manage shut-down and re-starting of the facility operation process to ensure safety and minimal downtime,tsc,False,False
Facility Design,Design and integrate biopharmaceuticals manufacturing facilities to optimise operational efficiency and effectiveness,tsc,False,False
Facility Maintenance,Manage facility systems maintenance to enhance performance and ensure uninterrupted organisational operations,tsc,False,False
Factory System Management,Manage different factory system applications to ensure optimum manufacturing operations performance as well as measure equipment effectiveness and track production lot material,tsc,False,False
Failure Analysis,Examine the electrical and physical defects evidence to verify the causes of failure as well as identify the failure modes,tsc,False,False
Family Governance,"Develop family governance framework, establish and implement operationalisation of processes to guide family relationship with the family office",tsc,False,False
Family and Caregiver Engagement,"Recognise the central role of the family in every child's life and develop strategies for family engagement, nurturing trust and rapport building capabilities in a family to enhance child's developmental outcome",tsc,False,False
Farm Biosecurity Compliance and Management,Develop and implement farm biosecurity management plans to control and mitigate environmental and biosecurity risks in farming operations in accordance with industry regulations and standards and to meet organisational business goals,tsc,False,False
Feeding Management in Community Care,Prepare clients for meals and assist with feeding,tsc,False,False
Feedstock and Product Transfer Operations Management,Perform feedstock and product transfer and blending for continuous and/or batch processes to meet operational requirements,tsc,False,False
Filmmaking Concepts,"Create a motion picture or film, which is a visual medium used to tell stories, convey emotions, entertain, inform, or educate audiences",tsc,False,False
Filtration Equipment Operation and Control,Operate filtration equipment in biopharmaceuticals manufacturing facilities,tsc,False,True
Finance Business Partnering,Generate finance-related insights to support the business in a strategic manner,tsc,True,False
Financial Acumen,Exercise financial insight to establish budgets for human resource (HR) activities and monitor HR operations and outcomes against financial plans,tsc,False,False
Financial Analysis,Analyse the financial statements and data to provide insights about the financial performance and position of the organisation over time,tsc,False,False
Financial Budget Planning and Management,"Establish, determine and manage organisational financial strategies through budget management, and planning and review financial control techniques to evaluate effectiveness",tsc,False,False
Financial Budgeting,"Prepare organisational budgets to support short- and long-term business plans through forecasting, allocation and financial policy settings",tsc,False,True
Financial Closing,Carry out month-end closing and reconciliation to ensure financial records are maintained properly,tsc,False,False
Financial Crime Laws and Regulations,Utilise laws and regulations governing white-collar crime in the process of forensic services,tsc,False,True
Financial Fraud Risk Management,Evaluate organisation's potential for occurrence of fraud and develop fraud risk awareness throughout the organisation,tsc,False,False
Financial Management,"Manage organisation's short and long-term financial needs by reviewing financial risk positions, refining financial plans, and ensuring healthy finances. Facilitate strategic decision-making by collating, verifying, evaluating, and analysing financial data in reports to support business growth and operations",tsc,False,False
Financial Modelling,Develop financial models and valuation models to reach valuation conclusions,tsc,True,False
Financial Performance Analysis,"Manage organisational financial performance using analysis techniques and tools, determine financial implications, conduct and review business unit financial analyses, and evaluate profitability and financial health through report analysis to assess performance and investment suitability",tsc,False,False
Financial Planning,Evaluate and develop budget in line with organisation’s strategies and plans,tsc,False,False
Financial Planning and Analysis,"Facilitate strategic decision-making on the organisation’s business finances by collating, verifying, and analysing financial data in reports",tsc,False,False
Financial Planning and Budget Management,"Maximise cost efficiency of organisational operations through financial planning, budget management and optimisation of operations",tsc,False,False
Financial Product Design and Development,"Manage new product design and development from Research and Development (R&D), including initial product design concepts, small batch piloting, market testing and evaluation",tsc,False,False
Financial Product Performance Management,Manage product performance through analysis and recommendations,tsc,False,False
Financial Reporting,Prepare general-purpose financial statements and disclosure notes in accordance with applicable financial reporting framework,tsc,False,True
Financial Reporting Quality,Establish internal control framework for audit purposes,tsc,False,False
Financial Statements Analysis,Analyse financial statements in accordance with the applicable frameworks,tsc,False,False
Financial Statements Review,Review financial statements in accordance with applicable frameworks and regulatory requirements,tsc,False,False
Financial Transactions,"Prepare business documentation and cash balances, perform payments, collections, and remittances, and comply with applicable frameworks and regulatory requirements",tsc,False,False
Financial Valuation,Perform valuation for business and financial assets for deal structuring,tsc,False,False
Fire Prevention and Firefighting,Minimise the risk of fire in civil aviation situations and maintain operational readiness to respond to emergency situations involving structural fires,tsc,False,False
Fire Prevention and Firefighting Aboard Ships,Minimise the risk of fire onboard ships and other marine vessels and maintain a state of readiness to respond to emergency situations involving fire,tsc,False,False
Fire Protection System Design,Design fire protection system incorporating holistic fire protection features in accordance with fire safety requirement,tsc,False,False
Fire Protection System Maintenance,Conduct preventive and corrective maintenance of fire protection systems,tsc,False,False
Firearm Handling,Handle firearms in accordance to standard operating procedures,tsc,False,False
First-Responder Anti-Harassment Support Provision,"Prevent, detect and protect from harassment in the workplace to create safety for colleagues",tsc,False,False
First-aid Support,Provide first-aid support and determine the situation for escalation,tsc,False,False
Fleet Procurement,"Acquire ship fleets, either through purchase or charter, for the organisation as business assets to fulfil operational needs and shipping orders",tsc,False,True
Flexible Facilities Implementation,"Facilitate implementation and changeover of flexible facilities, integrating single-use technologies with flexible manufacturing operations",tsc,False,True
Flight Check-In Operations,Assist customers with flight check-in procedures to ensure a seamless and hassle-free process,tsc,False,False
Flight Deck Communications,"Communicate with Air Traffic Control (ATC), flight crew members and ground personnel using Crew Resource Management (CRM) techniques",tsc,False,False
Flight Dispatch,Plan and execute flight dispatch activities and identify dispatch issues to ensure optimal and safe flights,tsc,False,False
Flight Disruptions and Irregular Operations Management,Execute and develop plans to manage flight disruptions and irregular airline operations,tsc,False,False
Flight Performance Data Calculation,Maintain accurate calculation of flight performance data and assess its implications on flight paths,tsc,False,False
Flight Planning,Plan cross-country flights according to regulatory and safety standards,tsc,False,False
Flight Watching and Flight Following,Monitor conditions which may affect the planned completion of flights and propose actions to prevent disruptions to flights,tsc,False,False
Flower Arrangement,Execute flower arrangements for various occasions,tsc,False,False
Flower Harvesting and Handling,Harvest flowers and foliage in a nursery for sale or use in a project,tsc,False,False
Food Manufacturing Facility Maintenance,Manage and enhance facility systems to support product manufacturing and business operations,tsc,False,True
Food Manufacturing Process Design,Analyse food product designs to establish manufacturing process workflows and identify potential risks and problems to reduce manufacturing costs,tsc,False,True
Food Manufacturing Quality Control Management,Establish and implement quality control systems and procedures to ensure the quality of products meet desired levels of standards and compliance at all stages,tsc,False,False
Food Product Marketing,Develop marketing campaign strategies by conceptualising product stories that create emotional connections with the target audience,tsc,False,False
Food Production Management,Manage operations and production levels in food manufacturing,tsc,False,False
Food Safety Analysis,Apply methods to analyse ingredients and manufactured food products for safety and quality management,tsc,False,False
